id_universite;nom_universite;nom_court;date_creation;dep_id
218;Conservatoire national supérieur de musique et de danse de Paris;CNSMDP;;75
219;École d'ingénieur d'agro-développement international;ISTOM;1908;49
220;École nationale supérieure d'architecture de Paris-Belleville;ENSAPB;;75
221;École nationale supérieure de techniques avancées Bretagne;ENSTA Bretagne;1975;29
222;Institut supérieur d'agriculture de Lille;ISA Lille;1963;59
223;IAE Paris - Sorbonne Business School;;1956;75
224;Sciences Po Lyon;IEP de Lyon;1948;69
225;Institut national des sciences appliquées Centre Val de Loire;INSA Centre Val de Loire;2014;18
226;Sorbonne Université;Sorbonne U;2018;75
227;Université de Bordeaux;UBx;2014;33
228;Université Gustave Eiffel;;2020;77
229;École catholique des arts et métiers;ECAM Lasalle;1900;69
230;École de management de Normandie;EM Normandie;;76
231;École de management Léonard De Vinci;EMLV;;92
232;École nationale supérieure d'architecture de Clermont-Ferrand;ENSACF;;63
233;École supérieure d’agriculture;ESA;1898;49
234;École supérieure d'art et design Le Havre-Rouen;ESADHaR;;76
235;École supérieure d'arts et médias de Caen - Cherbourg;ÉSAM Caen/Cherbourg;;14
236;Burgundy School of Business;;;21
237;École supérieure d'ingénieurs des travaux de la construction de Caen;;1993;14
238;École supérieure d'ingénieurs en électronique et électrotechnique d'Amiens;ESIEE Amiens;1992;80
239;Institut de management et de communication interculturels;ISIT Paris;1957;75
240;Université de Poitiers;;1431;86
241;Ecole de l'air et de l'espace;;1935;13
242;École française d'Extrême-Orient;;1898;75
243;École nationale de l'aviation civile;ENAC;1949;31
244;École nationale des ponts et chaussées;;1747;77
245;Institut national des sciences appliquées de Rouen Normandie;INSA Rouen Normandie;1985;76
246;Université d'Angers;;1972;49
247;Université d'Artois;;1991;62
248;CY Cergy Paris Université;;2019;95
249;ECAM Rennes Louis de Broglie;ECAM Rennes;1991;35
250;École des hautes études en santé publique;EHESP;1945;35
251;École nationale des travaux publics de l'État;;1954;69
252;École nationale supérieure de mécanique et des microtechniques;ENSMM Besançon;1980;25
253;Facultés libres de l'Ouest;FLO;1875;49
254;Institut supérieur international du parfum, de la cosmétique et de l'aromatique alimentaire;ISIPCA;;78
255;La Rochelle Université;;1993;17
256;Université Côte d'Azur;;2019;6
257;Université Le Havre Normandie;;1984;76
258;Université Jean Monnet;;1969;42
259;Université Rennes 2;;1971;35
